analysis_id,4id1um9dn40n355
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Eprs1
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
pvalue,0.7244529
mouse_strain,C57BL
parameter_id,MGP_IMM_070_001
