analysis_id,65xz6664ati1jtj
parameter_name,Fat mass
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
pvalue,0.2807191
gene_symbol,Lcn2
mouse_strain,C57BL
