analysis_id,s8200y0w8q1g647
gene_accession_id,MGI:3033992
pvalue,0.7920046
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_BMI_006_001
gene_symbol,Cldn19
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
