gene_symbol,Bpifa3
mouse_strain,C57BL
pvalue,0.5592774
mouse_life_stage,Early adult
parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
analysis_id,5x3d4l026q1v8e1
gene_accession_id,MGI:1920638
