gene_symbol,Gja10
parameter_id,MGP_PBI_034_001
pvalue,0.846519
gene_accession_id,MGI:1339969
analysis_id,5vg5p2t3l3073ur
mouse_strain,C57BL
parameter_name,B cell number
mouse_life_stage,Early adult
