parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
analysis_id,4g8t49dwleku988
pvalue,0.8335434
mouse_life_stage,Early adult
gene_symbol,Kdm4c
mouse_strain,C57BL
gene_accession_id,MGI:1924054
