mouse_strain,C57BL
analysis_id,1llqg7am260882k
pvalue,0.2509283
gene_accession_id,MGI:95835
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
gene_symbol,Hspa5
