analysis_id,q50y7f75f58re00
mouse_strain,C57BL
parameter_name,Periphery average speed
gene_symbol,Bpifa3
parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
pvalue,0.3998349
