mouse_life_stage,E9.5
parameter_id,MGP_IMM_015_001
pvalue,0.6499188
analysis_id,r78ste3o3evrt1y
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Hspa5
