analysis_id,s73747c81i5fm7b
parameter_name,Limb grasping
gene_accession_id,MGI:1915524
pvalue,0.6265962
gene_symbol,Toporsl
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_017
