parameter_name,Radius
pvalue,0.7240001
gene_symbol,Dcaf12
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_id,IMPC_XRY_022_001
analysis_id,5i6cp9wp98z1d1f
