analysis_id,1x9n66408x97750
parameter_name,Embryo turning
gene_symbol,Rab22a
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2656757
gene_accession_id,MGI:105072
