gene_symbol,Dnaaf9
parameter_name,Shape of vertebrae
gene_accession_id,MGI:1923029
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6169kb117696oxd
parameter_id,IMPC_XRY_018_001
pvalue,0.2356457
