parameter_name,HR
mouse_life_stage,Early adult
gene_symbol,Arpc2
mouse_strain,C57BL
pvalue,0.7886031
analysis_id,0th01bx43cllz3y
parameter_id,IMPC_ECG_002_001
gene_accession_id,MGI:1923959
