gene_symbol,Sass6
analysis_id,v64qpxong58070h
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
pvalue,0.1080157
gene_accession_id,MGI:1920026
mouse_life_stage,E9.5
