analysis_id,pxpi9b6130d13mr
parameter_id,MGP_IMM_027_001
pvalue,0.6291432
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zcchc2
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
