parameter_name,Hindlimbs - size
gene_symbol,Dnaaf9
parameter_id,JAXLA_CSD_022_001
analysis_id,8u3639b9848p33b
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
pvalue,0.1082247
mouse_strain,C57BL
