analysis_id,r1a3y4ik0m2hh7a
gene_symbol,Snrpb2
mouse_strain,C57BL
pvalue,0.8656365
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
parameter_name,Total cholesterol
gene_accession_id,MGI:104805
