parameter_id,IMPC_LDT_006_001
analysis_id,88euph0cs5lru2d
pvalue,0.8530457
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ssr2
parameter_name,Latency to first transition into dark
