gene_symbol,Tbl1xr1
parameter_name,Mean platelet volume
gene_accession_id,MGI:2441730
analysis_id,c8z84kerj6ihbnh
pvalue,0.09200042
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
