analysis_id,1a7jb05or6n303b
parameter_name,Alpha beta T cell percentage
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
pvalue,0.9022419
gene_symbol,Tiprl
