gene_symbol,Cntfr
mouse_life_stage,Early adult
pvalue,0.7881581
parameter_name,NK cell number
mouse_strain,129SV
analysis_id,2y1sc5i7smv1e4y
gene_accession_id,MGI:99605
parameter_id,MGP_PBI_027_001
