analysis_id,38t18c68ho2c364
parameter_name,Cornea
gene_symbol,Dmap1
mouse_strain,C57BL
gene_accession_id,MGI:1913483
pvalue,0.7286081
mouse_life_stage,E12.5
parameter_id,IMPC_EYE_007_001
