analysis_id,17lu285871woc1a
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_name,Heart looping
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
pvalue,0.3469178
