parameter_name,Hindlimb nail - number
analysis_id,54x78976hbx55ej
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
pvalue,0.3337307
