gene_symbol,Npbwr1
pvalue,0.3384667
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
gene_accession_id,MGI:891989
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,hkf4c7c8dda95i1
