analysis_id,1w3u6y03yn491t4
parameter_name,Body Weight
pvalue,0.540444
gene_symbol,Pglyrp3
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
mouse_strain,C57BL
