gene_symbol,Dcaf12
parameter_id,IMPC_XRY_018_001
analysis_id,7t4i3o3w94ahun1
gene_accession_id,MGI:1916220
parameter_name,Shape of vertebrae
mouse_strain,C54BL
pvalue,0.1115584
mouse_life_stage,Early adult
