gene_symbol,Inpp1
parameter_name,center - resting time
mouse_strain,C57BL
pvalue,0.9374577
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
analysis_id,g11v534j6239n4w
gene_accession_id,MGI:104848
