parameter_name,Retina (combined)
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
analysis_id,dma8x5a4ig5qb66
parameter_id,IMPC_EYE_092_002
gene_symbol,Cntfr
pvalue,0.6243478
mouse_strain,C57BL
