analysis_id,j8qp766vc3gw79f
parameter_id,HMGULA_DYS_024_001
pvalue,0.976472
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_name,Vibrissae - appearance
