parameter_name,Neutrophil cell count
mouse_strain,C57BL
gene_symbol,Slc17a9
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1919107
analysis_id,39na38t7gwj05z1
pvalue,0.9902092
mouse_life_stage,Early adult
