analysis_id,x53md5s8n66968w
parameter_id,ESLIM_008_001_001
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_name,Body position
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
pvalue,0.05888262
