parameter_name,HDL-cholesterol
pvalue,0.5216793
mouse_strain,C57BL
parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
analysis_id,661l762l4600078
