gene_symbol,Dnaaf9
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6r56jqbt3m63c3x
gene_accession_id,MGI:1923029
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
pvalue,0.9793246
