parameter_name,Tibia length
pvalue,0.8528921
mouse_life_stage,Early adult
analysis_id,487hx3t78o0t42w
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1917810
mouse_strain,C57BL
gene_symbol,Wars2
