gene_symbol,Atf3
parameter_id,IMPC_GEL_060_001
analysis_id,fzm3752909z9002
mouse_life_stage,Early adult
parameter_name,Neural tube morphology
pvalue,0.4968486
mouse_strain,C57BL
gene_accession_id,MGI:109384
