analysis_id,331160z1xl73xef
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
parameter_name,18kHz-evoked ABR Threshold
pvalue,0.7401533
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_symbol,Tiprl
