parameter_name,Neural tube morphology
analysis_id,157ngup6ya677ea
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9219745
