gene_symbol,Hnf4a
analysis_id,n95r99c92p88t47
mouse_life_stage,Late adult
parameter_name,Red blood cell count
pvalue,0.5891945
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:109128
mouse_strain,C57BL
