parameter_id,IMPC_LDT_006_001
analysis_id,d36jds3806bopwt
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_name,Latency to first transition into dark
pvalue,0.0983124
