analysis_id,x7v7e84rxwolbt3
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
gene_symbol,Cntfr
pvalue,0.260953
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,129SV
