parameter_name,Lean mass
pvalue,0.5354606
analysis_id,59qgjt1ch99r5ky
mouse_strain,C57BL
gene_symbol,Kifap3
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
