parameter_name,110dB startle magnitude
gene_accession_id,MGI:2444114
pvalue,0.8370516
gene_symbol,Zcchc2
analysis_id,p4b257g58lt0pww
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
