analysis_id,t513829j25905zc
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_id,M-G-P_014_001_009
mouse_life_stage,Early adult
parameter_name,lens
mouse_strain,C57BL
pvalue,0.6852935
