analysis_id,x62bwf5ku97e3a7
gene_symbol,Dnaaf9
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_SLW_013_001
pvalue,0.233378
gene_accession_id,MGI:1923029
parameter_name,Breath rate during sleep mean
