gene_symbol,Bach2
pvalue,0.5151638
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
analysis_id,qp5qh0775dwsdz8
