analysis_id,dzu483750pt82th
parameter_id,IMPC_GRS_009_001
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.1046672
gene_accession_id,MGI:95457
gene_symbol,Mecom
