gene_symbol,Hspa5
gene_accession_id,MGI:95835
analysis_id,a34378jdlllilr1
pvalue,0.5260728
mouse_strain,C57BL
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
mouse_life_stage,E12.5
