parameter_name,Tibia length
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
parameter_id,TCPLA_XRY_033_001
gene_symbol,AU040320
pvalue,0.9807801
mouse_strain,C57BL
analysis_id,or745o3c4j0ns20
