gene_symbol,Rufy4
pvalue,0.2243151
analysis_id,ar1ovs8ik5ghcxt
mouse_life_stage,Early adult
parameter_name,lens
gene_accession_id,MGI:3588214
mouse_strain,C57BL
parameter_id,M-G-P_014_001_009
