analysis_id,7mr8u77s70a30a5
parameter_name,Mean-cell-volume
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1339969
gene_symbol,Gja10
pvalue,0.05552031
mouse_life_stage,Early adult
