gene_symbol,Steap3
analysis_id,3mz8216f2317v1q
pvalue,0.5161747
mouse_strain,C57BL
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
