analysis_id,7623f26fx194219
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Middle aged adult
parameter_name,Hindpaw - size
pvalue,0.2418789
