parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:99605
mouse_strain,C57BL
analysis_id,0v3yv6l948r514y
mouse_life_stage,Early adult
pvalue,0.7134802
gene_symbol,Cntfr
