analysis_id,2626s376w5d49ht
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lens Opacity
pvalue,0.9669159
