parameter_name,Eye
analysis_id,mcs38sb61569yl0
gene_accession_id,MGI:1341628
gene_symbol,Atrn
pvalue,0.3028115
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
