parameter_name,center - distance
analysis_id,6k2g8898g447k15
mouse_life_stage,Early adult
pvalue,0.2253694
gene_accession_id,MGI:88461
mouse_strain,C57BL
gene_symbol,Col6a3
parameter_id,M-G-P_007_001_010
