parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
gene_symbol,Nanp
analysis_id,4kmuwlbd67215x5
pvalue,0.6999315
gene_accession_id,MGI:1914561
mouse_strain,C57BL
