analysis_id,zf67809d975883u
parameter_id,MGP_MLN_032_001
pvalue,0.6265793
mouse_life_stage,Early adult
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_name,Effector NK cells - % of NK cells
mouse_strain,C57BL
