analysis_id,r454cx81y0l70za
gene_symbol,Nr0b2
parameter_name,Embryo Size
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_032_001
mouse_strain,B6J
pvalue,0.1772814
