analysis_id,30b97m340x1957i
mouse_life_stage,Early adult
gene_symbol,Kcng1
mouse_strain,C57BL
gene_accession_id,MGI:3616086
parameter_id,IMPC_ECG_028_001
parameter_name,QT
pvalue,0.8744451
