parameter_name,Corneal opacity
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
pvalue,0.1231738
analysis_id,dxzm58sll9zo795
gene_accession_id,MGI:107414
