analysis_id,10i65jwr0qc03cq
parameter_id,MGP_IMM_013_001
pvalue,0.2063048
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:96757
gene_symbol,Lcn2
mouse_life_stage,Early adult
mouse_strain,C57BL
